l,m,v,n,t,b
0,0.007034777101329026,0.0005182058095595578,1462,Ks,SRR9847118_vs_SRR9847510
0,0.0005877857389571492,5.7012074726321175e-05,1466,Ks,SRR9847510_vs_SRR9847633
0,0.006605954766151421,0.0004973691623306523,1449,Ks,SRR9847510_vs_SRR9847535
0,0.0005308819267211725,0.0001584942964326732,1472,Ks,SRR9847070_vs_SRR9847303
0,0.006613284230830619,0.0004965312849300786,1459,Ks,SRR9847154_vs_SRR9847535
0,0.0035829567577722104,0.0003001281138651545,65985,Ks,all
0,2.3643154665546697e-05,1.0473362506032082e-07,1462,Ks,SRR9847510_vs_SRR9847585
0,0.005906200274324924,0.0004378286031510792,1470,Ks,SRR9847633_vs_SRR9847644
0,0.005507527978652923,0.0003922418735604181,1463,Ks,SRR9847535_vs_SRR9847644
0,0.007094000825095125,0.0005255171153766643,1466,Ks,SRR9847118_vs_SRR9847154
0,2.3252456570266115e-05,7.693554463079205e-08,1471,Ks,SRR9847154_vs_SRR9847585
0,2.3159636413569562e-05,1.7399802303432508e-07,1470,Ks,SRR9847303_vs_SRR9847510
0,0.0005416996470367415,0.00016042014269258934,1454,Ks,SRR9847070_vs_SRR9847510
0,0.005774123334331508,0.00042600437709696667,1479,Ks,SRR9847303_vs_SRR9847644
0,0.0070960650158590835,0.0005258490603695662,1464,Ks,SRR9847048_vs_SRR9847118
0,0.004399191621508233,0.00032540154720668037,1467,Ks,SRR9847118_vs_SRR9847535
0,0.007669216889613742,0.0006805773134188237,1463,Ks,SRR9847070_vs_SRR9847118
0,0.006605421177692044,0.000496566148885323,1457,Ks,SRR9847048_vs_SRR9847535
0,3.3729149980385575e-05,1.3437366487075668e-07,1459,Ks,SRR9847154_vs_SRR9847510
0,2.913775814577742e-05,1.6067760886555977e-07,1477,Ks,SRR9847154_vs_SRR9847303
0,0.005804954143579897,0.00042866474068119383,1461,Ks,SRR9847048_vs_SRR9847644
0,0.005770738123375809,0.00042561281656049556,1467,Ks,SRR9847585_vs_SRR9847644
0,0.006358737949786467,0.0005845365478968732,1461,Ks,SRR9847070_vs_SRR9847644
0,0.0005280795136084287,0.0001594873378909162,1462,Ks,SRR9847070_vs_SRR9847154
0,0.007183967751305319,0.0006532286277183838,1455,Ks,SRR9847070_vs_SRR9847535
0,1.898312904373003e-05,5.570447011626562e-08,1466,Ks,SRR9847048_vs_SRR9847585
0,0.007171536193525272,0.0005367498340082,1481,Ks,SRR9847118_vs_SRR9847303
0,0.0005772740197354386,5.6432652854014425e-05,1482,Ks,SRR9847303_vs_SRR9847633
0,0.006614106184243297,0.0004962853556159535,1467,Ks,SRR9847303_vs_SRR9847535
0,0.007291747283993246,0.0005420014261303833,1473,Ks,SRR9847118_vs_SRR9847633
0,0.000574417001207613,5.665951011784667e-05,1474,Ks,SRR9847585_vs_SRR9847633
0,0.0005855450546593011,5.679259426847459e-05,1471,Ks,SRR9847154_vs_SRR9847633
0,0.00109050207677993,0.0002152567660002402,1467,Ks,SRR9847070_vs_SRR9847633
0,2.8984665093794318e-05,8.5098903115476e-08,1465,Ks,SRR9847048_vs_SRR9847154
0,0.005798266196862562,0.00042811426646942026,1460,Ks,SRR9847510_vs_SRR9847644
0,0.005790370340828543,0.0004272053006720262,1465,Ks,SRR9847154_vs_SRR9847644
0,0.006554969108368825,0.0004939606171348068,1461,Ks,SRR9847535_vs_SRR9847585
0,0.0005269129646584773,0.00015938794556279883,1463,Ks,SRR9847070_vs_SRR9847585
0,1.8555713516911856e-05,1.252891437203854e-07,1469,Ks,SRR9847048_vs_SRR9847303
0,1.9227305668066695e-05,1.3154437555184825e-07,1477,Ks,SRR9847303_vs_SRR9847585
0,0.0005832011839886973,5.696855029103269e-05,1466,Ks,SRR9847048_vs_SRR9847633
0,0.00672056183857916,0.0005045382007626936,1462,Ks,SRR9847535_vs_SRR9847633
0,0.0006164775835369134,0.00016497908137140527,1459,Ks,SRR9847048_vs_SRR9847070
0,2.296199785364169e-05,9.816194732363543e-08,1456,Ks,SRR9847048_vs_SRR9847510
0,0.005956213673774805,0.00042137124791959276,1496,Ks,SRR9847118_vs_SRR9847644
0,0.007003933018887228,0.0005164719413344699,1469,Ks,SRR9847118_vs_SRR9847585
