l,m,v,n,t,b
0,0.006605954766151418,0.0004973691623306534,1449,Ks,SRR9847510_vs_SRR9847535
0,0.000528079513608429,0.00015948733789091608,1462,Ks,SRR9847070_vs_SRR9847154
0,0.007669216889613746,0.0006805773134188242,1463,Ks,SRR9847070_vs_SRR9847118
0,1.8983129043730028e-05,5.570447011626562e-08,1466,Ks,SRR9847048_vs_SRR9847585
0,0.004399191621508246,0.00032540154720668075,1467,Ks,SRR9847118_vs_SRR9847535
0,0.007003933018887227,0.0005164719413344706,1469,Ks,SRR9847118_vs_SRR9847585
0,0.0038023217343792944,0.0003215091732079727,51284,Ks,all
0,0.0005269129646584776,0.0001593879455627988,1463,Ks,SRR9847070_vs_SRR9847585
0,0.005770738123375806,0.0004256128165604957,1467,Ks,SRR9847585_vs_SRR9847644
0,0.005804954143579907,0.0004286647406811946,1461,Ks,SRR9847048_vs_SRR9847644
0,3.3729149980385575e-05,1.3437366487075663e-07,1459,Ks,SRR9847154_vs_SRR9847510
0,0.005790370340828555,0.00042720530067202645,1465,Ks,SRR9847154_vs_SRR9847644
0,2.296199785364169e-05,9.816194732363538e-08,1456,Ks,SRR9847048_vs_SRR9847510
0,0.0072917472839932485,0.0005420014261303841,1473,Ks,SRR9847118_vs_SRR9847633
0,0.007094000825095127,0.000525517115376664,1466,Ks,SRR9847118_vs_SRR9847154
0,2.36431546655467e-05,1.0473362506032084e-07,1462,Ks,SRR9847510_vs_SRR9847585
0,0.005507527978652928,0.00039224187356041887,1463,Ks,SRR9847535_vs_SRR9847644
0,0.0059062002743249286,0.0004378286031510787,1470,Ks,SRR9847633_vs_SRR9847644
0,0.007096065015859094,0.0005258490603695655,1464,Ks,SRR9847048_vs_SRR9847118
0,0.007034777101329031,0.0005182058095595573,1462,Ks,SRR9847118_vs_SRR9847510
0,0.005956213673774805,0.0004213712479195922,1496,Ks,SRR9847118_vs_SRR9847644
0,0.007171536193525272,0.0005367498340082005,1481,Ks,SRR9847118_vs_SRR9847303
0,0.005798266196862571,0.0004281142664694198,1460,Ks,SRR9847510_vs_SRR9847644
0,0.0005877857389571493,5.70120747263212e-05,1466,Ks,SRR9847510_vs_SRR9847633
0,0.00635873794978647,0.0005845365478968736,1461,Ks,SRR9847070_vs_SRR9847644
0,0.006605421177692042,0.0004965661488853227,1457,Ks,SRR9847048_vs_SRR9847535
0,1.855571351691186e-05,1.2528914372038537e-07,1469,Ks,SRR9847048_vs_SRR9847303
0,0.0005832011839886973,5.696855029103267e-05,1466,Ks,SRR9847048_vs_SRR9847633
0,0.007183967751305324,0.0006532286277183835,1455,Ks,SRR9847070_vs_SRR9847535
0,0.001090502076779929,0.0002152567660002402,1467,Ks,SRR9847070_vs_SRR9847633
0,0.005774123334331511,0.000426004377096966,1479,Ks,SRR9847303_vs_SRR9847644
0,0.0006164775835369134,0.00016497908137140532,1459,Ks,SRR9847048_vs_SRR9847070
0,2.898466509379431e-05,8.509890311547598e-08,1465,Ks,SRR9847048_vs_SRR9847154
0,2.3159636413569562e-05,1.7399802303432498e-07,1470,Ks,SRR9847303_vs_SRR9847510
0,0.000541699647036742,0.0001604201426925893,1454,Ks,SRR9847070_vs_SRR9847510
0,0.0005308819267211722,0.00015849429643267324,1472,Ks,SRR9847070_vs_SRR9847303
